date,max_temp,min_temp
2025-12-27,21.2,12.9
2025-12-28,18.1,13.6
2025-12-29,16.2,12.7
2025-12-30,15.7,11.3
2025-12-31,17.4,10.4
2026-01-01,21.1,10.1
2026-01-02,21.5,10.9
