date,max_temp,min_temp
2025-12-27,25.8,15.1
2025-12-28,25.4,15.3
2025-12-29,26.6,15.0
2025-12-30,27.3,15.7
2025-12-31,27.1,16.5
2026-01-01,27.2,18.5
2026-01-02,26.4,17.6
