date,max_temp,min_temp
2025-12-27,21.1,12.7
2025-12-28,19.4,12.3
2025-12-29,16.9,10.6
2025-12-30,17.2,10.6
2025-12-31,19.2,10.4
2026-01-01,21.6,10.6
2026-01-02,23.0,11.8
